Brand_Model,URL,Efficiency,Range,FastCharge
Porsche Taycan Turbo S,https://ev-database.org/car/1116/Porsche-Taycan-Turbo-S,21.5 kWh,390 km,780 km/h
Volkswagen ID.3 Standard Range,https://ev-database.org/car/1127/Volkswagen-ID3-Standard-Range,16.4 kWh,275 km,260 km/h
Tesla Model 3 Long Range Dual Motor,https://ev-database.org/car/1138/Tesla-Model-3-Long-Range-Dual-Motor,15.6 kWh,475 km,990 km/h
Hyundai Kona Electric 64 kWh,https://ev-database.org/car/1126/Hyundai-Kona-Electric-64-kWh,16.0 kWh,400 km,380 km/h
Mercedes EQC 400 4MATIC,https://ev-database.org/car/1135/Mercedes-EQC-400-4MATIC,22.2 kWh,360 km,430 km/h
Tesla Model 3 Standard Range,https://ev-database.org/car/1060/Tesla-Model-3-Standard-Range,14.8 kWh,310 km,540 km/h
Audi e-tron 55 quattro,https://ev-database.org/car/1092/Audi-e-tron-55-quattro,23.2 kWh,360 km,600 km/h
Jaguar I-Pace,https://ev-database.org/car/1097/Jaguar-I-Pace,22.9 kWh,370 km,350 km/h
Audi e-tron GT,https://ev-database.org/car/1153/Audi-e-tron-GT,19.7 kWh,425 km,850 km/h
Volkswagen e-Golf,https://ev-database.org/car/1087/Volkswagen-e-Golf,16.8 kWh,190 km,220 km/h
Tesla Model 3 Standard Range Plus,https://ev-database.org/car/1177/Tesla-Model-3-Standard-Range-Plus,14.7 kWh,340 km,540 km/h
Volvo XC40 Electric,https://ev-database.org/car/1188/Volvo-XC40-Electric,18.8 kWh,400 km,600 km/h
Kia e-Niro 64 kWh,https://ev-database.org/car/1125/Kia-e-Niro-64-kWh,17.1 kWh,375 km,350 km/h
Polestar 2,https://ev-database.org/car/1170/Polestar-2,16.7 kWh,450 km,670 km/h
Honda e,https://ev-database.org/car/1171/Honda-e,16.0 kWh,200 km,270 km/h
Peugeot e-208,https://ev-database.org/car/1168/Peugeot-e-208,16.1 kWh,295 km,440 km/h
Nissan Leaf e+,https://ev-database.org/car/1144/Nissan-Leaf-eplus,17.0 kWh,330 km,390 km/h
Skoda Vision IV,https://ev-database.org/car/1187/Skoda-Vision-IV,18.4 kWh,450 km,570 km/h
Nissan Leaf,https://ev-database.org/car/1106/Nissan-Leaf,16.4 kWh,220 km,230 km/h
Opel Corsa-e,https://ev-database.org/car/1192/Opel-Corsa-e,16.4 kWh,290 km,430 km/h
MG ZS EV,https://ev-database.org/car/1201/MG-ZS-EV,19.3 kWh,230 km,260 km/h
BMW iX3,https://ev-database.org/car/1136/BMW-iX3,21.4 kWh,350 km,520 km/h
Tesla Model Y Standard Range,https://ev-database.org/car/1180/Tesla-Model-Y-Standard-Range,16.7 kWh,300 km,480 km/h
BMW i3 120 Ah,https://ev-database.org/car/1145/BMW-i3-120-Ah,16.1 kWh,235 km,270 km/h
Tesla Model 3 Long Range Performance,https://ev-database.org/car/1139/Tesla-Model-3-Long-Range-Performance,16.4 kWh,450 km,940 km/h
Mercedes EQA,https://ev-database.org/car/1147/Mercedes-EQA,17.1 kWh,350 km,440 km/h
Renault Zoe ZE50 R110,https://ev-database.org/car/1164/Renault-Zoe-ZE50-R110,16.0 kWh,325 km,240 km/h
Audi Q4 e-tron,https://ev-database.org/car/1179/Audi-Q4-e-tron,19.5 kWh,425 km,540 km/h
Tesla Roadster,https://ev-database.org/car/1167/Tesla-Roadster,20.6 kWh,970 km,920 km/h
Volkswagen ID.3 Long Range,https://ev-database.org/car/1203/Volkswagen-ID3-Long-Range,17.1 kWh,450 km,550 km/h
Hyundai IONIQ Electric,https://ev-database.org/car/1165/Hyundai-IONIQ-Electric,14.5 kWh,265 km,230 km/h
Volkswagen e-Up!,https://ev-database.org/car/1081/Volkswagen-e-Up,16.8 kWh,95 km,160 km/h
Lightyear One,https://ev-database.org/car/1166/Lightyear-One,10.3 kWh,580 km,550 km/h
SEAT el-Born,https://ev-database.org/car/1178/SEAT-el-Born,17.1 kWh,340 km,470 km/h
Lucid Air,https://ev-database.org/car/1098/Lucid-Air,21.4 kWh,350 km,520 km/h
Audi e-tron Sportback,https://ev-database.org/car/1107/Audi-e-tron-Sportback,23.2 kWh,360 km,580 km/h
Kia e-Soul 64 kWh,https://ev-database.org/car/1154/Kia-e-Soul-64-kWh,17.3 kWh,370 km,350 km/h
Opel Ampera-e,https://ev-database.org/car/1051/Opel-Ampera-e,16.8 kWh,345 km,220 km/h
Hyundai Kona Electric 39 kWh,https://ev-database.org/car/1129/Hyundai-Kona-Electric-39-kWh,15.7 kWh,250 km,210 km/h
Tesla Model S Long Range,https://ev-database.org/car/1194/Tesla-Model-S-Long-Range,18.1 kWh,525 km,580 km/h
Renault Zoe R110,https://ev-database.org/car/1128/Renault-Zoe-R110,15.8 kWh,260 km,-
DS 3 Crossback E-Tense,https://ev-database.org/car/1148/DS-3-Crossback-E-Tense,17.0 kWh,280 km,420 km/h
Volkswagen e-Up!,https://ev-database.org/car/1189/Volkswagen-e-Up,16.2 kWh,200 km,170 km/h
SEAT Mii Electric,https://ev-database.org/car/1191/SEAT-Mii-Electric,16.2 kWh,200 km,170 km/h
Hyundai Kona Electric 64 kWh,https://ev-database.org/car/1204/Hyundai-Kona-Electric-64-kWh,16.0 kWh,400 km,350 km/h
Tesla Model Y Long Range,https://ev-database.org/car/1181/Tesla-Model-Y-Long-Range,16.8 kWh,440 km,610 km/h
Tesla Model X Long Range,https://ev-database.org/car/1198/Tesla-Model-X-Long-Range,20.7 kWh,460 km,500 km/h
Mini Cooper SE,https://ev-database.org/car/1163/Mini-Cooper-SE,15.6 kWh,185 km,270 km/h
Peugeot e-2008 SUV,https://ev-database.org/car/1206/Peugeot-e-2008-SUV,17.3 kWh,275 km,410 km/h
Skoda CITIGOe iV,https://ev-database.org/car/1190/Skoda-CITIGOe-iV,16.2 kWh,200 km,170 km/h
Volkswagen ID.3 Mid Range,https://ev-database.org/car/1202/Volkswagen-ID3-Mid-Range,16.8 kWh,345 km,480 km/h
Renault Zoe ZE50 R135,https://ev-database.org/car/1205/Renault-Zoe-ZE50-R135,16.0 kWh,325 km,240 km/h
Nissan e-NV200 Evalia,https://ev-database.org/car/1117/Nissan-e-NV200-Evalia,20.0 kWh,190 km,190 km/h
Renault Zoe R90,https://ev-database.org/car/1150/Renault-Zoe-R90,15.8 kWh,260 km,-
Citroen C-Zero,https://ev-database.org/car/1094/Citroen-C-Zero,16.1 kWh,90 km,180 km/h
Sono Sion,https://ev-database.org/car/1152/Sono-Sion,15.6 kWh,225 km,270 km/h
Porsche Taycan Cross Turismo,https://ev-database.org/car/1186/Porsche-Taycan-Cross-Turismo,22.5 kWh,400 km,730 km/h
Renault Kangoo Maxi ZE 33,https://ev-database.org/car/1101/Renault-Kangoo-Maxi-ZE-33,18.8 kWh,165 km,-
Smart EQ forfour,https://ev-database.org/car/1134/Smart-EQ-forfour,18.6 kWh,90 km,-
Tesla Model S Performance,https://ev-database.org/car/1207/Tesla-Model-S-Performance,18.6 kWh,510 km,560 km/h
Audi e-tron 50 quattro,https://ev-database.org/car/1209/Audi-e-tron-50-quattro,22.9 kWh,275 km,410 km/h
Smart EQ fortwo coupe,https://ev-database.org/car/1132/Smart-EQ-fortwo-coupe,15.9 kWh,105 km,-
Tesla Model Y Long Range Dual Motor,https://ev-database.org/car/1182/Tesla-Model-Y-Long-Range-Dual-Motor,17.4 kWh,425 km,590 km/h
Peugeot iOn,https://ev-database.org/car/1095/Peugeot-iOn,16.1 kWh,90 km,180 km/h
Kia e-Niro 39 kWh,https://ev-database.org/car/1137/Kia-e-Niro-39-kWh,16.3 kWh,240 km,230 km/h
BMW i3s 120 Ah,https://ev-database.org/car/1149/BMW-i3s-120-Ah,16.5 kWh,230 km,260 km/h
Tesla Model Y Long Range Performance,https://ev-database.org/car/1183/Tesla-Model-Y-Long-Range-Performance,18.5 kWh,400 km,560 km/h
Tesla Model X Performance,https://ev-database.org/car/1208/Tesla-Model-X-Performance,21.3 kWh,445 km,490 km/h
Kia e-Soul 39 kWh,https://ev-database.org/car/1169/Kia-e-Soul-39-kWh,17.0 kWh,230 km,220 km/h
Smart EQ fortwo cabrio,https://ev-database.org/car/1133/Smart-EQ-fortwo-cabrio,17.6 kWh,95 km,-
Byton M-Byte 95 kWh,https://ev-database.org/car/1235/Byton-M-Byte-95-kWh,23.8 kWh,400 km,520 km/h
Honda e Advance,https://ev-database.org/car/1233/Honda-e-Advance,16.0 kWh,200 km,270 km/h